Coupang,5.00,5/28/14,South Korea,eCommerce/Marketplace,"Sequoia Capital, Founder Collective, Wellington Management"
Yello Mobile,4.00,11/11/14,South Korea,Mobile Software & Services,Formation 8
Klarna,2.50,12/12/11,Sweden,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Spotify,8.53,6/17/11,Sweden,Internet Software & Services,"Horizons Ventures, Norwest Venture Partners, Technology Crossover Ventures"
Avaloq Group,1.01,3/22/17,Switzerland,Fintech,Warbug Pincus
MindMaze,1.00,2/17/16,Switzerland,VR/AR,Hinduja Group
Careem Networks,1.20,12/18/16,United Arab Emirates,On Demand,"STC Ventures, Al Tayyar Travel Group, Wamda Capital"
Improbable,1.00,5/12/17,United Kingdom,AR/VR,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
Global Switch,6.02,12/22/16,United Kingdom,Computer Hardware & Services,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
The Hut Group,3.25,8/13/17,United Kingdom,eCommerce,"Kohlberg Kravis Roberts & Co., Old Mutual Global Investors, Artemis Investment Management"
Farfetch,1.50,3/4/15,United Kingdom,eCommerce/Marketplace,"Advent Venture Partners, Index Ventures, e.ventures"
BGL Group,3.00,11/24/17,United Kingdom,Fintech,CPP Investment Board
TransferWise,1.60,1/26/15,United Kingdom,Fintech,"IA Ventures, Index Ventures, SV Angel"
ACORN OakNorth,1.20,10/12/17,United Kingdom,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Funding Circle,1.00,4/23/15,United Kingdom,Fintech,"Accel Partners, Index Ventures, Ribbit Capital"
BrewDog,1.15,4/10/17,United Kingdom,Food & Beverages,"TSG Consumer Partners, Crowdcube"
Oxford Nanopore Technologies,1.55,7/21/15,United Kingdom,Healthcare,"Illumina, Invesco Perpetual, IP Group"
benevolent.ai,1.00,6/2/15,United Kingdom,Healthcare,Woodford Investment Management
Radius Payments Solutions,1.07,11/27/17,United Kingdom,Internet Software & Services,Inflexion Private Equity
Deliveroo,2.00,9/25/17,United Kingdom,On-demand,"Accel Partners, General Catalyst, Index Ventures"
Desktop Metal,1.00,7/17/17,United States,3D Printing,"Australian Future Fund, GE Ventures, Data Collective"
AppLovin,1.40,1/1/17,United States,Adtech,"Orient Hontai Capital, Webb Investment Network"
Appnexus,1.20,8/18/14,United States,Adtech,"Khosla Ventures, Technology Crossover Ventures, Tribeca Venture Partners"
Quanergy Systems,1.59,8/24/16,United States,Auto Tech,"Delphi Automotive, Samsung Ventures, Motus Ventures"
Zoox,1.55,5/27/16,United States,Auto Tech,"AID Partners, Draper Fisher Jurvetson"
Palantir Technologies,20.00,5/5/11,United States,Big Data,"RRE Ventures, Founders Fund, In-Q-Tel"
Qualtrics,2.50,9/24/14,United States,Big Data,"Accel Partners, Insight Venture Partners, Sequoia Capital"
Uptake,2.30,10/27/15,United States,Big Data,"Revolution, New Enterprise Associates, Caterpillar"
Domo Technologies,2.00,4/8/15,United States,Big Data,"Institutional Venture Partners, Benchmark Capital, Founders Fund"
Insidesales.com,1.50,4/28/14,United States,Big Data,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
Mu Sigma,1.50,2/7/13,United States,Big Data,"Sequoia Capital, General Atlantic"
Actifio,1.10,3/24/14,United States,Big Data,"Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures"
MarkLogic,1.00,5/12/15,United States,Big Data,"Sequoia Capital, Tenaya Capital, Northgate Capital"
Indigo Agriculture,1.40,9/26/17,United States,Biotech,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Ginkgo BioWorks,1.00,12/14/17,United States,Biotechnology,"Y Combinator, Data Collective, MassVentures"
MedMen,1.00,2/6/18,United States,Cannabis,"Captor Capital, N Squared Management"
Rubicon Global,1.00,8/25/17,United States,Cleantech,"Goldman Sachs, Leonardo DiCaprio, Promecap"
Kendra Scott Jewelry,1.00,12/21/16,United States,Clothing & Accessories,"Berkshire Partners, Norwest Venture Partners"
Supreme,1.00,10/9/17,United States,Clothing & Accessories,The Carlyle Group
Katerra,1.00,4/13/17,United States,Construction Tech,"Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
Procore Technologies,1.00,12/8/16,United States,Construction Tech,"Bessemer Venture Partners, O'Connor Ventures, Iconiq Capital"
Tanium,3.75,3/31/15,United States,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
